"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-OMP/results/652/dstat_sp-mz_C_O3_32.csv",,,,"Date:","10 Apr 2020 23:20:20 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.583,0.095,93.306,0.015,0.000,0.001,115.153,10480.974,0.0,0.0,0.0,0.0,3724.558,2765.669,1329258496.0,287563776.0,1072619520.0,64965992448.0
69.963,1.149,28.889,0.0,0.0,0.0,0.0,0.0,4002.0,17828.0,0.0,0.0,29555.0,8600.0,1833074688.0,287563776.0,1072619520.0,64462176256.0
70.498,0.125,29.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29309.0,8758.0,1832968192.0,287563776.0,1072623616.0,64462278656.0
70.797,0.125,29.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29502.0,8740.0,1832714240.0,287563776.0,1072623616.0,64462532608.0
71.525,0.100,28.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29770.0,8784.0,1832443904.0,287563776.0,1072623616.0,64462802944.0
70.460,0.100,29.440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29324.0,8756.0,1832185856.0,287563776.0,1072623616.0,64463060992.0
70.835,0.100,29.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29356.0,8671.0,1831927808.0,287563776.0,1072623616.0,64463319040.0
71.107,0.100,28.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29517.0,8639.0,1831788544.0,287563776.0,1072623616.0,64463458304.0
70.850,0.125,29.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29465.0,8668.0,1831407616.0,287563776.0,1072623616.0,64463839232.0
71.650,0.075,28.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29723.0,8564.0,1831272448.0,287563776.0,1072623616.0,64463974400.0
71.661,0.125,28.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29651.0,8565.0,1831047168.0,287563776.0,1072623616.0,64464199680.0
72.022,0.100,27.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29780.0,8483.0,1830920192.0,287563776.0,1072623616.0,64464326656.0
72.039,0.125,27.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29861.0,8587.0,1830793216.0,287563776.0,1072623616.0,64464453632.0
72.111,0.125,27.764,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,29875.0,8519.0,1830793216.0,287563776.0,1072623616.0,64464453632.0
