"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-OMP/results/652/dstat_sp-mz_C_O2_2.csv",,,,"Date:","10 Apr 2020 21:19:44 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.587,0.095,93.302,0.015,0.000,0.001,115.244,10488.580,0.0,0.0,0.0,0.0,3725.172,2765.732,1043947520.0,287551488.0,1070350336.0,65253584896.0
4.522,0.250,95.229,0.0,0.0,0.0,0.0,0.0,129052.0,22882.0,0.0,0.0,2959.0,2379.0,1443708928.0,287551488.0,1070477312.0,64853696512.0
4.727,0.200,95.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3371.0,2779.0,1835438080.0,287551488.0,1070477312.0,64461967360.0
4.877,0.075,95.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4522.0,3731.0,1835446272.0,287551488.0,1070477312.0,64461959168.0
4.780,0.050,95.170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4543.0,3901.0,1835438080.0,287551488.0,1070477312.0,64461967360.0
4.910,0.075,95.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4735.0,4242.0,1835184128.0,287551488.0,1070477312.0,64462221312.0
4.954,0.050,94.521,0.475,0.0,0.0,0.0,61440.0,0.0,0.0,0.0,0.0,3799.0,2638.0,1835192320.0,287551488.0,1070477312.0,64462213120.0
4.453,0.025,95.522,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3077.0,2488.0,1834938368.0,287551488.0,1070477312.0,64462467072.0
4.932,0.050,95.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4195.0,3116.0,1834655744.0,287551488.0,1070477312.0,64462749696.0
4.932,0.050,95.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3764.0,2591.0,1834655744.0,287551488.0,1070477312.0,64462749696.0
4.277,0.050,95.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4052.0,3310.0,1834393600.0,287551488.0,1070477312.0,64463011840.0
4.555,0.050,95.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4196.0,3338.0,1834266624.0,287551488.0,1070477312.0,64463138816.0
4.305,0.025,95.670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4269.0,3747.0,1834139648.0,287551488.0,1070477312.0,64463265792.0
4.955,0.075,94.970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3968.0,2570.0,1834147840.0,287551488.0,1070477312.0,64463257600.0
4.935,0.050,95.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4660.0,4060.0,1833771008.0,287551488.0,1070477312.0,64463634432.0
4.934,0.050,95.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4307.0,3340.0,1833668608.0,287551488.0,1070477312.0,64463736832.0
