"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-OMP/results/652/dstat_sp-mz_C_O2_4.csv",,,,"Date:","10 Apr 2020 21:24:10 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.587,0.095,93.302,0.015,0.000,0.001,115.241,10488.309,0.0,0.0,0.0,0.0,3725.175,2765.734,1060626432.0,287551488.0,1070632960.0,65236623360.0
9.125,0.450,90.425,0.0,0.0,0.0,0.0,0.0,4074.0,7380.0,0.0,0.0,5454.0,3790.0,1825398784.0,287551488.0,1070637056.0,64471846912.0
8.629,0.075,91.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4886.0,3075.0,1825406976.0,287551488.0,1070637056.0,64471838720.0
8.784,0.025,91.191,0.0,0.0,0.0,0.0,0.0,683.0,4409.0,0.0,0.0,4788.0,2855.0,1825406976.0,287551488.0,1070637056.0,64471838720.0
8.727,0.075,90.723,0.475,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,4872.0,2920.0,1825280000.0,287551488.0,1070637056.0,64471965696.0
8.707,0.050,91.243,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,5844.0,3595.0,1825280000.0,287551488.0,1070637056.0,64471965696.0
8.584,0.050,91.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5990.0,3967.0,1825280000.0,287551488.0,1070637056.0,64471965696.0
8.527,0.075,91.398,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,5544.0,3115.0,1825374208.0,287551488.0,1070637056.0,64471871488.0
8.531,0.025,91.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5452.0,2958.0,1825325056.0,287551488.0,1070637056.0,64471920640.0
8.986,0.050,90.964,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,6068.0,3814.0,1825316864.0,287551488.0,1070637056.0,64471928832.0
8.556,0.050,91.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5912.0,3863.0,1825316864.0,287551488.0,1070637056.0,64471928832.0
8.534,0.050,91.416,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,5763.0,3539.0,1825316864.0,287551488.0,1070637056.0,64471928832.0
8.754,0.050,91.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5765.0,3444.0,1825308672.0,287551488.0,1070637056.0,64471937024.0
8.857,0.050,91.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5966.0,3744.0,1825308672.0,287551488.0,1070637056.0,64471937024.0
9.155,0.075,90.770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6110.0,3804.0,1825308672.0,287551488.0,1070637056.0,64471937024.0
8.986,0.025,90.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5838.0,3383.0,1825181696.0,287551488.0,1070637056.0,64472064000.0
8.875,0.075,91.050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5608.0,2987.0,1825054720.0,287551488.0,1070637056.0,64472190976.0
8.859,0.050,91.091,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,5570.0,2923.0,1825062912.0,287551488.0,1070637056.0,64472182784.0
8.882,0.050,91.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5619.0,3047.0,1825071104.0,287551488.0,1070637056.0,64472174592.0
9.077,0.050,90.848,0.0,0.0,0.025,0.0,0.0,60.0,0.0,0.0,0.0,5699.0,3053.0,1825062912.0,287551488.0,1070637056.0,64472182784.0
9.055,0.075,90.870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5726.0,3128.0,1825062912.0,287551488.0,1070637056.0,64472182784.0
8.879,0.025,91.071,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,5621.0,3023.0,1825062912.0,287551488.0,1070637056.0,64472182784.0
8.877,0.075,91.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5650.0,3091.0,1825062912.0,287551488.0,1070637056.0,64472182784.0
8.879,0.050,91.046,0.0,0.0,0.025,0.0,0.0,60.0,0.0,0.0,0.0,5609.0,3020.0,1825062912.0,287551488.0,1070637056.0,64472182784.0
9.077,0.050,90.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5699.0,3072.0,1825062912.0,287551488.0,1070637056.0,64472182784.0
9.057,0.050,90.418,0.475,0.0,0.0,0.0,12288.0,60.0,0.0,0.0,0.0,5679.0,3021.0,1825062912.0,287551488.0,1070637056.0,64472182784.0
8.904,0.050,91.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5603.0,3019.0,1825062912.0,287551488.0,1070637056.0,64472182784.0
8.904,0.075,91.021,0.0,0.0,0.0,0.0,0.0,128.0,483.0,0.0,0.0,5633.0,3032.0,1825054720.0,287551488.0,1070637056.0,64472190976.0
8.877,0.075,91.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5583.0,2980.0,1825054720.0,287551488.0,1070637056.0,64472190976.0
8.959,0.050,90.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5607.0,2931.0,1825054720.0,287551488.0,1070637056.0,64472190976.0
9.130,0.075,90.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5422.0,2953.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
8.884,0.025,91.091,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,5682.0,3155.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
8.852,0.075,91.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5594.0,3009.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
8.782,0.050,91.168,0.0,0.0,0.0,0.0,4096.0,180.0,42.0,0.0,0.0,5539.0,2920.0,1825177600.0,287551488.0,1070641152.0,64472064000.0
9.050,0.075,90.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5868.0,3401.0,1825185792.0,287551488.0,1070641152.0,64472055808.0
9.107,0.050,90.843,0.0,0.0,0.0,0.0,0.0,338.0,5182.0,0.0,0.0,5702.0,3016.0,1825185792.0,287551488.0,1070641152.0,64472055808.0
8.879,0.050,91.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5639.0,3051.0,1825185792.0,287551488.0,1070641152.0,64472055808.0
8.854,0.075,91.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5593.0,2954.0,1825193984.0,287551488.0,1070641152.0,64472047616.0
8.877,0.075,90.998,0.050,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,5655.0,3079.0,1825067008.0,287551488.0,1070641152.0,64472174592.0
8.982,0.025,90.968,0.0,0.0,0.025,0.0,0.0,60.0,0.0,0.0,0.0,5759.0,3234.0,1825067008.0,287551488.0,1070641152.0,64472174592.0
9.152,0.075,90.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5728.0,3041.0,1825067008.0,287551488.0,1070641152.0,64472174592.0
8.882,0.050,91.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5644.0,3049.0,1825067008.0,287551488.0,1070641152.0,64472174592.0
8.882,0.050,91.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5788.0,3363.0,1825067008.0,287551488.0,1070641152.0,64472174592.0
8.879,0.050,91.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5589.0,2973.0,1825067008.0,287551488.0,1070641152.0,64472174592.0
8.954,0.050,90.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5659.0,3041.0,1825067008.0,287551488.0,1070641152.0,64472174592.0
9.180,0.075,90.745,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,5710.0,2966.0,1825067008.0,287551488.0,1070641152.0,64472174592.0
8.879,0.050,91.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5753.0,3290.0,1825042432.0,287551488.0,1070641152.0,64472199168.0
8.857,0.050,91.093,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,5714.0,3193.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
8.879,0.075,91.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5672.0,3078.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
8.879,0.050,91.071,0.0,0.0,0.0,0.0,0.0,683.0,574.0,0.0,0.0,5577.0,2919.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
9.252,0.075,90.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5801.0,3132.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
8.904,0.075,91.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5687.0,3127.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
8.859,0.050,91.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5653.0,3085.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
8.877,0.050,91.048,0.0,0.0,0.025,0.0,0.0,60.0,0.0,0.0,0.0,5636.0,3050.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
8.877,0.075,91.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5639.0,3067.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
9.182,0.050,90.768,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,5714.0,2963.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
8.929,0.075,90.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5755.0,3250.0,1825050624.0,287551488.0,1070641152.0,64472190976.0
8.857,0.050,91.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5623.0,3029.0,1825058816.0,287551488.0,1070641152.0,64472182784.0
8.879,0.050,91.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5635.0,3052.0,1825058816.0,287551488.0,1070641152.0,64472182784.0
8.877,0.075,91.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5569.0,2931.0,1825058816.0,287551488.0,1070641152.0,64472182784.0
9.155,0.075,90.770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5729.0,3014.0,1825058816.0,287551488.0,1070641152.0,64472182784.0
8.954,0.050,90.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5610.0,2926.0,1825058816.0,287551488.0,1070641152.0,64472182784.0
8.854,0.075,91.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5611.0,3000.0,1825067008.0,287551488.0,1070641152.0,64472174592.0
8.879,0.050,91.071,0.0,0.0,0.0,0.0,0.0,0.0,3770.0,0.0,0.0,5601.0,3013.0,1825062912.0,287551488.0,1070645248.0,64472174592.0
8.879,0.050,91.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5626.0,3029.0,1825062912.0,287551488.0,1070645248.0,64472174592.0
