"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-6.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/662/dstat_is_A.csv",,,,"Date:","07 Apr 2020 23:26:47 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
13.098,0.299,86.577,0.022,0.000,0.004,169.979,16740.117,0.0,0.0,30.738,1594.737,7466.190,4028.042,1044959232.0,239509504.0,185298944.0,66184466432.0
0.0,0.083,99.917,0.0,0.0,0.0,0.0,4096.0,2466.0,3174.0,0.0,0.0,2044.0,2238.0,1044148224.0,239509504.0,185298944.0,66185277440.0


"Host:","compute-662-6.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/662/dstat_is_A.csv",,,,"Date:","07 Apr 2020 23:42:14 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
13.097,0.299,86.578,0.022,0.000,0.004,169.961,16738.567,0.0,0.0,30.735,1594.570,7466.056,4037.777,1074786304.0,239509504.0,450015232.0,65889923072.0
2.062,0.042,97.896,0.0,0.0,0.0,0.0,0.0,21174.0,7192.0,0.0,0.0,3072.0,2514.0,1089609728.0,239509504.0,450015232.0,65875099648.0
2.085,0.042,97.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017.0,2412.0,1106370560.0,239509504.0,450031616.0,65858322432.0
2.064,0.042,97.477,0.417,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,3038.0,2482.0,1141567488.0,239509504.0,450031616.0,65823125504.0
1.730,0.042,98.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2893.0,2417.0,1073065984.0,239509504.0,450031616.0,65891627008.0
0.0,0.063,99.937,0.0,0.0,0.0,0.0,24576.0,404.0,1436.0,0.0,0.0,2029.0,2230.0,1072766976.0,239509504.0,450039808.0,65891917824.0
