"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/652/dstat_ep_A.csv",,,,"Date:","07 Apr 2020 23:26:56 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.748,0.096,93.140,0.015,0.000,0.001,116.780,10755.780,0.0,0.0,0.0,0.0,3763.845,2779.387,1019265024.0,287117312.0,1048059904.0,65300992000.0
0.025,0.050,99.925,0.0,0.0,0.0,0.0,0.0,2430.0,3228.0,0.0,0.0,2012.0,2157.0,1019265024.0,287117312.0,1048059904.0,65300992000.0


"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1/NPB3.3-SER/results/652/dstat_ep_A.csv",,,,"Date:","07 Apr 2020 23:47:57 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.748,0.096,93.140,0.015,0.000,0.001,116.763,10754.400,0.0,0.0,0.0,0.0,3763.651,2779.336,1015914496.0,287117312.0,1055145984.0,65297256448.0
2.500,0.075,97.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2977.0,2419.0,1016037376.0,287117312.0,1055150080.0,65297129472.0
2.529,0.050,97.421,0.0,0.0,0.0,0.0,0.0,29918.0,12750.0,0.0,0.0,3365.0,3167.0,1016053760.0,287117312.0,1055150080.0,65297113088.0
2.505,0.075,97.420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544.0,3594.0,1016061952.0,287117312.0,1055150080.0,65297104896.0
2.529,0.025,96.970,0.476,0.0,0.0,0.0,16384.0,400.0,0.0,0.0,0.0,3392.0,3210.0,1015934976.0,287117312.0,1055150080.0,65297231872.0
2.529,0.050,97.420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3450.0,3377.0,1015918592.0,287117312.0,1055150080.0,65297248256.0
2.506,0.025,97.469,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,3695.0,3796.0,1015918592.0,287117312.0,1055150080.0,65297248256.0
2.529,0.050,97.420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3765.0,4031.0,1015783424.0,287117312.0,1055150080.0,65297383424.0
2.505,0.050,97.445,0.0,0.0,0.0,0.0,0.0,274.0,256.0,0.0,0.0,3606.0,3656.0,1015656448.0,287117312.0,1055150080.0,65297510400.0
2.506,0.050,97.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3815.0,4176.0,1015529472.0,287117312.0,1055150080.0,65297637376.0
2.528,0.075,97.397,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,3417.0,3209.0,1015529472.0,287117312.0,1055150080.0,65297637376.0
2.505,0.075,97.420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3488.0,3448.0,1015521280.0,287117312.0,1055150080.0,65297645568.0
2.529,0.050,97.420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3451.0,3336.0,1015521280.0,287117312.0,1055150080.0,65297645568.0
2.505,0.050,96.994,0.451,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,3442.0,3437.0,1015521280.0,287117312.0,1055150080.0,65297645568.0
2.505,0.050,97.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3493.0,3413.0,1015996416.0,287117312.0,1055150080.0,65297170432.0
2.528,0.050,97.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3123.0,2667.0,1015996416.0,287117312.0,1055150080.0,65297170432.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,683.0,641.0,0.0,0.0,2990.0,2391.0,1015996416.0,287117312.0,1055150080.0,65297170432.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3011.0,2415.0,1015980032.0,287117312.0,1055150080.0,65297186816.0
2.527,0.050,97.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3006.0,2348.0,1015980032.0,287117312.0,1055150080.0,65297186816.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,3003.0,2426.0,1015980032.0,287117312.0,1055150080.0,65297186816.0
2.403,0.050,97.547,0.0,0.0,0.0,0.0,0.0,182.0,256.0,0.0,0.0,3021.0,2391.0,1015472128.0,287117312.0,1055150080.0,65297694720.0
0.0,0.075,99.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,2223.0,1015230464.0,287117312.0,1055154176.0,65297932288.0
