Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:23:25        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:23:26           lo     18.00     18.00      4.98      4.98      0.00      0.00      0.00
05:23:26         eth1    139.00    142.00     23.48     28.31      0.00      0.00    148.00
05:23:26         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:26         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:26         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:26        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

05:23:26        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:23:27           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:27         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:27         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:27         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:27         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:23:27        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
