Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

19:02:28        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:29           lo     18.18     18.18      5.07      5.07      0.00      0.00      0.00
19:02:29         eth1    223.23    234.34     37.84     44.86      0.00      0.00      0.00
19:02:29         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:29         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:29         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:29        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

19:02:29        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
19:02:30           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:30         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:30         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:30         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:30         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:02:30        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
