Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-3.local) 	04/19/20 	_x86_64_	(48 CPU)

05:23:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:23:56     all    0.06    0.00    0.23    0.00    0.00    0.00    0.00    0.00   99.71
05:23:56       0    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00   97.96
05:23:56       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56       6    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:23:56       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      15    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
05:23:56      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      24    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
05:23:56      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      26    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
05:23:56      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      37    2.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   94.00
05:23:56      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:23:56      47    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   97.98

05:23:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
05:23:57     all    0.00    0.00    0.04    0.46    0.00    0.00    0.00    0.00   99.50
05:23:57       0    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00   98.97
