Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-5.local) 	04/19/20 	_x86_64_	(48 CPU)

17:03:34        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
17:03:35           lo    150.51    150.51    186.89    186.89      0.00      0.00      0.00
17:03:35         eth1    644.44    848.48    111.73    142.74      0.00      0.00      0.00
17:03:35         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:03:35         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:03:35         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:03:35        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

17:03:35        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
17:03:36           lo     65.66     65.66      3.86      3.86      0.00      0.00      0.00
17:03:36         eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:03:36         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:03:36         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:03:36         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:03:36        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00

17:03:36        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
17:03:37           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:03:37         eth1     12.24      9.18      0.89      0.77      0.00      0.00      0.00
17:03:37         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:03:37         mic0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:03:37         mic1      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:03:37        myri0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
