"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-652-1.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-SER/results/652/dstat_sp-mz_A_O2.csv",,,,"Date:","08 Apr 2020 22:38:22 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
6.687,0.096,93.201,0.015,0.000,0.001,115.697,10662.489,0.0,0.0,0.0,0.0,3748.045,2774.024,1027063808.0,287129600.0,1054928896.0,65286311936.0
2.498,0.075,97.427,0.0,0.0,0.0,0.0,0.0,102486.0,19892.0,0.0,0.0,3062.0,2434.0,1066901504.0,287129600.0,1054932992.0,65246470144.0
2.502,0.050,97.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3062.0,2518.0,1067061248.0,287129600.0,1055019008.0,65246224384.0
2.502,0.025,97.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3030.0,2416.0,1067106304.0,287129600.0,1055035392.0,65246162944.0
2.501,0.050,97.449,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,3051.0,2449.0,1066872832.0,287129600.0,1055035392.0,65246396416.0
2.502,0.050,97.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3053.0,2424.0,1066881024.0,287129600.0,1055035392.0,65246388224.0
2.526,0.050,97.349,0.050,0.0,0.025,0.0,57344.0,0.0,0.0,0.0,0.0,3090.0,2546.0,1066881024.0,287129600.0,1055035392.0,65246388224.0
2.501,0.050,97.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3055.0,2427.0,1066369024.0,287129600.0,1055035392.0,65246900224.0
2.502,0.050,97.423,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,3050.0,2492.0,1065750528.0,287129600.0,1055035392.0,65247518720.0
2.503,0.025,97.472,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2987.0,2324.0,1065623552.0,287129600.0,1055035392.0,65247645696.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3002.0,2406.0,1065623552.0,287129600.0,1055035392.0,65247645696.0
2.527,0.050,97.423,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2993.0,2328.0,1065623552.0,287129600.0,1055035392.0,65247645696.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3109.0,2641.0,1065295872.0,287129600.0,1055035392.0,65247973376.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3233.0,2806.0,1064898560.0,287129600.0,1055035392.0,65248370688.0
2.504,0.050,97.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3192.0,2797.0,1064849408.0,287129600.0,1055035392.0,65248419840.0
2.527,0.075,97.398,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3011.0,2399.0,1064730624.0,287129600.0,1055035392.0,65248538624.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,2424.0,1064706048.0,287129600.0,1055035392.0,65248563200.0
2.503,0.050,97.447,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3001.0,2346.0,1064579072.0,287129600.0,1055035392.0,65248690176.0
