"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-6.local",,,,"User:","a78156"
"Cmdline:","dstat -cdngym --output /home/a78156/ESC/NPB3.3.1-MZ/NPB3.3-MZ-SER/results/662/dstat_sp-mz_A_O2.csv",,,,"Date:","09 Apr 2020 00:25:55 WEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","used","buff","cach","free"
13.002,0.312,86.660,0.022,0.000,0.004,168.272,16594.637,0.0,0.0,30.429,1578.694,7435.565,4025.566,1147187200.0,239697920.0,195792896.0,66071556096.0
2.083,0.104,97.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3084.0,2483.0,1186721792.0,239697920.0,196493312.0,66031321088.0
2.608,0.396,96.954,0.021,0.0,0.021,0.0,4096.0,3707892.0,297674.0,0.0,0.0,8376.0,7690.0,1187790848.0,239697920.0,197251072.0,66029494272.0
2.106,0.083,97.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3061.0,2444.0,1186701312.0,239697920.0,197316608.0,66030518272.0
2.358,0.292,97.246,0.083,0.0,0.021,0.0,417792.0,354468.0,219843.0,0.0,0.0,5627.0,4684.0,1188020224.0,239697920.0,197316608.0,66029199360.0
2.335,0.209,97.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5731.0,5024.0,1189203968.0,239697920.0,197382144.0,66027950080.0
2.314,0.209,97.456,0.0,0.0,0.021,0.0,0.0,336680.0,215097.0,0.0,0.0,4564.0,4076.0,1191342080.0,239697920.0,197382144.0,66025811968.0
2.482,0.313,97.184,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,7028.0,6316.0,1191444480.0,239697920.0,197423104.0,66025668608.0
2.106,0.063,97.832,0.0,0.0,0.0,0.0,0.0,392324.0,270782.0,0.0,0.0,3087.0,2547.0,1190203392.0,239697920.0,197451776.0,66026881024.0
2.587,0.396,96.161,0.835,0.0,0.021,0.0,106496.0,0.0,0.0,0.0,0.0,7602.0,7310.0,1193197568.0,239697920.0,197459968.0,66023878656.0
2.126,0.104,97.770,0.0,0.0,0.0,0.0,0.0,374441.0,238804.0,0.0,0.0,3636.0,3097.0,1190391808.0,239697920.0,197533696.0,66026610688.0
2.421,0.271,97.287,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,5727.0,5526.0,1193345024.0,239697920.0,197541888.0,66023649280.0
2.334,0.208,97.436,0.0,0.0,0.021,0.0,0.0,236637.0,145831.0,0.0,0.0,5717.0,5228.0,1191284736.0,239697920.0,197562368.0,66025689088.0
2.315,0.209,97.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5089.0,4844.0,1190436864.0,239697920.0,197615616.0,66026483712.0
2.420,0.292,96.809,0.459,0.0,0.021,0.0,118784.0,279402.0,189526.0,0.0,0.0,6503.0,6132.0,1190842368.0,239697920.0,197632000.0,66026061824.0
2.231,0.146,97.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4013.0,3378.0,1191403520.0,239697920.0,197656576.0,66025476096.0
2.483,0.334,97.163,0.0,0.0,0.021,0.0,0.0,342656.0,218236.0,0.0,0.0,8094.0,7830.0,1194295296.0,239697920.0,197709824.0,66022531072.0
